input,output
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
"ucuz bir android, kamerası iyi, oyun oynamam",price: cheap; os: android; camera: good; purpose: not_gaming
"iphone olsun, 5000 mah batarya, selfie için",os: ios; battery: 5000; purpose: selfie
"android olsun, 16 gb ramli, kamerası iyi",os: android; ram: 16; camera: good
"oyun için 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için iyi kamera, 8 gb ramli iphone",purpose: selfie; camera: good_front; ram: 8; os: ios
"orta segment android, kamerası iyi, oyun oynamam",price: mid_range; os: android; camera: good; purpose: not_gaming
"pahalı android, batarya ömrü çok uzun, selfie için",price: expensive; os: android; battery: very_long_lasting; purpose: selfie
"ucuz iphone, ramı 8 gb, bataryası iyi değil",price: cheap; os: ios; ram: 8; battery: not_good
"kamerası çok iyi, oyun için uygun, iphone",camera: very_good; purpose: gaming; os: ios
"android olsun, 8 gb ram, 10000 tl altı",os: android; ram: 8; price <= 10000
"selfie için en iyi kamera, orta fiyatlı iphone",purpose: selfie; camera: best_front; price: mid_range; os: ios
"ramı yüksek, bataryası uzun giden, pahalı olmayan",ram: high; battery: long_lasting; price: not_expensive
"kamerası iyi, uygun fiyatlı, oyun için",camera: good; price: affordable; purpose: gaming
"iphone olsun, 5000 mah batarya, oyun oynamam",os: ios; battery: 5000; purpose: not_gaming
"android olsun, 12 gb ram, kamerası iyi",os: android; ram: 12; camera: good
"oyun için, 7000 mah batarya, uygun fiyatlı",purpose: gaming; battery: 7000; price: affordable
"selfie için, 16 gb ram, pahalı değil",purpose: selfie; ram: 16; price: not_expensive
"orta segment android, bataryası iyi, oyun için",price: mid_range; os: android; battery: good; purpose: gaming
"pahalı iphone, oyun için, 12 gb ram",price: expensive; os: ios; purpose: gaming; ram: 12
"ucuz android, kamerası iyi, selfie için",price: cheap; os: android; camera: good; purpose: selfie
"kamerası çok iyi, bataryası uzun, android",camera: very_good; battery: long_lasting; os: android
"oyun için uygun fiyatlı, ramı 12 gb",purpose: gaming; price: affordable; ram: 12
"selfie için en iyi kamera, 20000 tl civarı iphone",purpose: selfie; camera: best_front; price: 20000; os: ios
"orta segment iphone, oyun için, 16 gb ram",price: mid_range; os: ios; purpose: gaming; ram: 16
"pahalı bir telefon, ramı yüksek, bataryası uzun",price: expensive; ram: high; battery: long_lasting
